"","bug.creation_ts","bug.short_desc","bug.product","bug.component","bug.priority","bug.bug_severity","bug.reporter","bug.assigned_to","bug.first_priority","bug.days_resolution","bug.creation_month","bug.creation_year","bug.first_severity"
"1",2011-05-21,"Crash when previewing the Pgtextje.ttf  font in the font list","LibreOffice","UI","priority_high","bug_severity_critical","pierre-yves.samyn","caolanm","medium","604","month_maggio","year_2011",NA
"2",2011-06-17,"Documents cause LibreOffice to *crash* on close","LibreOffice","LibreOffice","priority_high","bug_severity_critical","ivoras","cedric.bosdonnat.ooo","medium","149","month_giugno","year_2011","blocker"
"3",2010-11-12,"Writer crashes on mail merge","LibreOffice","Writer","priority_high","bug_severity_blocker","eric.moret","libreoffice-bugs","medium","25","month_novembre","year_2010","major"
"4",2011-01-21,"Python scripting not available","LibreOffice","LibreOffice","priority_high","bug_severity_major","fyvaao","libreoffice-bugs","medium","114","month_gennaio","year_2011",NA
"5",2011-07-24,"CRASH closing document with footnotes","LibreOffice","Writer","priority_highest","bug_severity_critical","erdl","bjoern.michaelsen","medium","64","month_luglio","year_2011","critical"
"6",2011-11-02,"FILEOPEN: Crash on document load (ODT)","LibreOffice","Writer","priority_highest","bug_severity_critical","sng","caolanm","medium","42","month_novembre","year_2011","normal"
"7",2012-01-26,": The way Writer counting Chinese words is not correct","LibreOffice","Writer","priority_highest","bug_severity_major","blackjay","caolanm","medium","69","month_gennaio","year_2012","normal"
"8",2014-12-30,"Tools -> Options -> View tab crushed by new OpenGL Graphics Output strings","LibreOffice","UI","priority_highest","bug_severity_critical","philipz85","caolanm","medium","117","month_dicembre","year_2014","normal"
"9",2015-08-04,"Crash Inserting Special Character","LibreOffice","LibreOffice","priority_highest","bug_severity_critical","slumbergod","caolanm","medium","8","month_agosto","year_2015","normal"
"10",2011-03-30,"Tables corrupted in exported doc-files","LibreOffice","Writer","priority_highest","bug_severity_blocker","xor","cedric.bosdonnat.ooo","medium","41","month_marzo","year_2011","normal"
"11",2010-12-08,"RC1 : Windows installer (multi) wants suffficiently free space","LibreOffice","Installation","priority_highest","bug_severity_blocker","jbfaure","fridrich.strba","medium","1","month_dicembre","year_2010",NA
"12",2015-08-14,"Once the Function Wizard has been Displayed, it is not Possible to Select Columns or Rows or to Open the Context Menu of Columns and Rows","LibreOffice","Calc","priority_highest","bug_severity_blocker","harald.koester","Katarina.Behrens","medium","15","month_agosto","year_2015","normal"
"13",2010-10-14,"LibreOffice Betas 1 and 2 loading a specific spreadsheet crashes programme.","LibreOffice","Calc","priority_highest","bug_severity_blocker","PeterSHarris","libreoffice","medium","6","month_ottobre","year_2010","major"
"14",2010-10-14,"Array doesn't work in 3.3b2","LibreOffice","LibreOffice","priority_highest","bug_severity_blocker","miguelangelrv","libreoffice","medium","6","month_ottobre","year_2010",NA
"15",2010-10-15,"Function wizard shows incorrect cell/sheet address","LibreOffice","Calc","priority_highest","bug_severity_blocker","liz","libreoffice","medium","7","month_ottobre","year_2010","normal"
"16",2014-02-05,"FILEOPEN: Contents of Several Cells Miss, if Spreadsheet is an XLS File","LibreOffice","Calc","priority_highest","bug_severity_critical","harald.koester","libreoffice","medium","2","month_febbraio","year_2014","normal"
"17",2010-10-17,"Spreadsheet - Selection for data validity will not work","LibreOffice","Calc","priority_highest","bug_severity_blocker","LibreOffice","libreoffice-bugs","medium","44","month_ottobre","year_2010","critical"
"18",2010-11-01,"Fatal Error when starting LibreOffice 3.3 for the first time","LibreOffice","LibreOffice","priority_highest","bug_severity_critical","appropriatemisbehavior","libreoffice-bugs","medium","1","month_novembre","year_2010",NA
"19",2011-04-15,"LibO 3.4 fails to start with ""symbol lookup error"": undefined symbol: sal_detail_initialize","LibreOffice","LibreOffice","priority_highest","bug_severity_critical","mihhkel","libreoffice-bugs","medium","30","month_aprile","year_2011","critical"
"20",2011-05-06,"dict-en package not included in Linux install tarballs","LibreOffice","Installation","priority_highest","bug_severity_blocker","mihhkel","libreoffice-bugs","medium","0","month_maggio","year_2011",NA
"21",2011-05-19,"LibreOffice 3.5 most annoying bugs","LibreOffice","LibreOffice","priority_highest","bug_severity_critical","pmladek","libreoffice-bugs","medium","636","month_maggio","year_2011","critical"
"22",2011-09-21,"FILESAVE: Impossible with password protection","LibreOffice","Writer","priority_highest","bug_severity_blocker","LibreOffice","libreoffice-bugs","medium","103","month_settembre","year_2011","major"
"23",2011-11-09,"Part of fix for bug 40590 not included in 3.4.4.  Formulas in defined names messed up again.","LibreOffice","Calc","priority_highest","bug_severity_critical","b.bugs.freedesktop","libreoffice-bugs","medium","4","month_novembre","year_2011",NA
"24",2012-03-15,"Many crashes when accessibility enabled on MacOS X","LibreOffice","LibreOffice","priority_highest","bug_severity_critical","toni","libreoffice-bugs","medium","180","month_marzo","year_2012","blocker"
"25",2012-03-19,": Unable to build with any additional languages.","LibreOffice","LibreOffice","priority_highest","bug_severity_critical","robert","libreoffice-bugs","medium","5","month_marzo","year_2012","normal"
"26",2012-04-11,": Allow A:A format to include an entire column and 1:1 format to include an entire row","LibreOffice","Calc","priority_highest","bug_severity_major","7qia0tp02","libreoffice-bugs","medium","1161","month_aprile","year_2012","normal"
"27",2012-08-28,"LibreOffice 4.0 most annoying bugs","LibreOffice","LibreOffice","priority_highest","bug_severity_critical","bugs","libreoffice-bugs","medium","548","month_agosto","year_2012",NA
