"","43868","42534","37449"
""""",",30,0,0
"""erdl",30,0,0
"""libreoffic",60,0,0
"""medium",30,0,0
"""monthdicembr",30,0,0
"""priorityhighest",30,0,0
"""resdays7",30,0,0
"""thb",30,0,0
"""year2011",30,0,0
"0),",420,0,0
"000",90,0,0
"0000",120,0,0
"00000000",300,0,0
"00001000",30,0,0
"00002000",30,0,0
"0000commit",30,0,0
"00010000",30,0,0
"00011000",60,0,0
"00020000",30,0,0
"00021000",30,0,0
"000340m1",60,0,0
"00059000",60,0,0
"0005c000",30,0,0
"0006f000",60,0,0
"00072000",30,0,0
"001",30,0,0
"0100",60,0,0
"0100444",60,0,0
"01042013",30,0,0
"01dec2011",30,0,0
"01dec2011index",30,0,0
"0200",30,0,0
"024105",120,0,0
"054755",30,0,0
"065442",30,0,0
"0802",240,0,0
"090223",30,0,0
"0906",330,0,0
"0for",30,0,0
"0just",30,0,0
"0x14",30,0,0
"0x1c4frdi",30,0,0
"0x206",30,0,0
"0x23",30,0,0
"0x24",30,0,0
"0x31f",30,0,0
"0x38rdiedi",30,0,0
"0x42",30,0,0
"0x50rdir8d",30,0,0
"0x54rbxeax",30,0,0
"0x6e73",30,0,0
"0x6e78",30,0,0
"0x6e88",30,0,0
"0x6e90",30,0,0
"0x8",30,0,0
"0x9",30,0,0
"0x91f",30,0,0
"0xae3ef73a",30,0,0
"0xae3ef79",30,0,0
"0xae3fe322",30,0,0
"0xae5acd59",30,0,0
"0xae600530",30,0,0
"0xae62db28",30,0,0
"0xae62f590",30,0,0
"0xae65d68b",30,0,0
"0xae679dca",30,0,0
"0xae679e3b",30,0,0
"0xae67fc06",30,0,0
"0xae67fc61",30,0,0
"0xae685ff8",30,0,0
"0xae686039",30,0,0
"0xae6b0ad6",30,0,0
"0xae6b11b3",90,0,0
"0xae78628a",30,0,0
"0xae7862e5",30,0,0
"0xae7a9dad",30,0,0
"0xae961941",30,0,0
"0xae961c12",30,0,0
"0xae9622b5",30,0,0
"0xae962e24",30,0,0
"0xaebd2a71",30,0,0
"0xaebd2e03",30,0,0
"0xaec87482",30,0,0
"0xaec87513",30,0,0
"0xb",30,0,0
"0xb01",30,0,0
"0xb77dfeb2",30,0,0
"0xb77efa0f",30,0,0
"0xb77f52cf",30,0,0
"0xb77f5e8d",30,0,0
"0xb77f5f94",30,0,0
"0xb77f60d8",30,0,0
"0xc",30,0,0
"0xd1",30,0,0
"0xde",30,0,0
"0xe",30,0,0
"0xfe",30,0,0
"100",180,0,0
"1004",180,0,0
"10042",120,0,0
"100791error",30,0,0
"100805the",30,0,0
"100898correct",30,0,0
"101",120,0,0
"1010",180,0,0
"101028cedricrpm",120,0,0
"1010hp",30,0,0
"1065",30,0,0
"106794test",30,0,0
"1068",60,0,0
"1073",60,0,0
"1079",30,0,0
"1082",30,0,0
"109",30,0,0
"1094",30,0,0
"10pt",30,0,0
"1104",90,0,0
"110c",30,0,0
"111",60,0,0
"1110",60,0,0
"1110last",30,0,0
"1110x8664",60,0,0
"111539option",30,0,0
"112007",30,0,0
"112252",30,0,0
"113045",30,0,0
"115,",420,0,0
"115140view",30,0,0
"115604where",30,0,0
"1156version",30,0,0
"11i",30,0,0
"11step",30,0,0
"120",30,0,0
"1204",60,0,0
"1210",30,0,0
"123",60,0,0
"13,",420,0,0
"1303324669",30,0,0
"1303324670",30,0,0
"1310",60,0,0
"133009",30,0,0
"13301maverick1",30,0,0
"13rd",30,0,0
"140006",30,0,0
"140006expect",30,0,0
"141998",30,0,0
"14ex",30,0,0
"14it",30,0,0
"15,",420,0,0
"150",30,0,0
"150050",30,0,0
"1500gb",30,0,0
"1500mb",30,0,0
"15122011",30,0,0
"16022",30,0,0
"16022can",30,0,0
"16022first",30,0,0
"166",60,0,0
"169",60,0,0
"170057",30,0,0
"17052011",30,0,0
"17065openjdk",30,0,0
"17067",30,0,0
"1756ubuntu3",60,0,0
"18005",30,0,0
"18011b12java",30,0,0
"18011javatm",30,0,0
"1862",30,0,0
"1880",30,0,0
"18977",60,0,0
"190b09",30,0,0
"1build",60,0,0
"1f1cdd8",30,0,0
"1firebirdsdbc",30,0,0
"1step",30,0,0
"20,",420,0,0
"2000",30,0,0
"2007",90,0,0
"200720010",30,0,0
"2009",30,0,0
"2010",180,0,0
"20101108",30,0,0
"20102doe",30,0,0
"2011",90,0,0
"20110809",30,0,0
"20111016",30,0,0
"20111220",30,0,0
"20120214",30,0,0
"2013",60,0,0
"20130313",30,0,0
"20130813212614",30,0,0
"20130821202624",60,0,0
"20130823073204",30,0,0
"20130905",30,0,0
"20130911223430",30,0,0
"20130918",30,0,0
"20131115234451",30,0,0
"2014",90,0,0
"20140924114205",30,0,0
"20150724024718",30,0,0
"202546",60,0,0
"205959",30,0,0
"20ferri",30,0,0
"2108alex",30,0,0
"21st",60,0,0
"225025",30,0,0
"225026"",",30,0,0
"228272rowcol",30,0,0
"22mb",30,0,0
"2300",30,0,0
"23rd",30,0,0
"2465b04",30,0,0
"25.4677131175995,",210,0,0
"25.4833381175995,",150,0,0
"25.4989619255066,",60,0,0
"2511b03",30,0,0
"252",30,0,0
"260",30,0,0
"26019060ubuntu1",60,0,0
"263527gener",60,0,0
"27042015",30,0,0
"292,",420,0,0
"2build",30,0,0
"2creat",30,0,0
"302",30,0,0
"3059",30,0,0
"30882",30,0,0
"311",30,0,0
"31318",150,0,0
"31365",30,0,0
"31452",30,0,0
"31659",30,0,0
"31701",30,0,0
"31734",30,0,0
"31919",60,0,0
"31it",30,0,0
"321",240,0,0
"321the",30,0,0
"32392",30,0,0
"3264bit",60,0,0
"32780",30,0,0
"3281",60,0,0
"32992",150,0,0
"32992ubuntu",30,0,0
"32993",90,0,0
"32993step",30,0,0
"32b",180,0,0
"32b1",30,0,0
"32bfor",30,0,0
"32bit",180,0,0
"32btest",30,0,0
"32how",30,0,0
"330",360,0,0
"3301",30,0,0
"330beta3",60,0,0
"331",90,0,0
"332",270,0,0
"333",120,0,0
"3331",30,0,0
"33359",60,0,0
"333best",30,0,0
"333same",30,0,0
"333thanxi",30,0,0
"334",60,0,0
"33b2",60,0,0
"33b3",30,0,0
"33beta3i",30,0,0
"33rc1",30,0,0
"33rc2",60,0,0
"33thank",30,0,0
"33x",60,0,0
"340",270,0,0
"340103",90,0,0
"340103tri",30,0,0
"3409403",90,0,0
"340beta3",30,0,0
"340m1",30,0,0
"340m1build12",30,0,0
"340no",30,0,0
"340rc1",60,0,0
"341",330,0,0
"341rc3",30,0,0
"342",360,0,0
"342creat",30,0,0
"342save",30,0,0
"343",180,0,0
"3433",30,0,0
"343close",30,0,0
"344",330,0,0
"34436",30,0,0
"34451",30,0,0
"345",870,0,0
"34559",30,0,0
"345rc1",60,0,0
"345rc2",60,0,0
"346",60,0,0
"34beta3",30,0,0
"34beta5",60,0,0
"34betaa",30,0,0
"34dev",30,0,0
"34m0",30,0,0
"34rc1",150,0,0
"34rc2",30,0,0
"34window",30,0,0
"34x",150,0,0
"350",390,0,0
"350beta1",30,0,0
"350beta2",90,0,0
"350m1build2",30,0,0
"350m1build2on",30,0,0
"350was",30,0,0
"351",90,0,0
"353",60,0,0
"35302",30,0,0
"35404",90,0,0
"3542",60,0,0
"3553",30,0,0
"356",30,0,0
"35669",30,0,0
"35690",30,0,0
"35829",30,0,0
"35991",30,0,0
"35i",30,0,0
"35master",60,0,0
"35oper",30,0,0
"35x",30,0,0
"35xpossibl",30,0,0
"36035",30,0,0
"3604",60,0,0
"360alpha0",30,0,0
"360beta1",30,0,0
"361",90,0,0
"3612",30,0,0
"362",150,0,0
"36263",60,0,0
"36271",60,0,0
"36273",30,0,0
"3632win",30,0,0
"364",120,0,0
"3643",90,0,0
"36451",30,0,0
"364mi",30,0,0
"3652",30,0,0
"36573",60,0,0
"36616",30,0,0
"36640",60,0,0
"36642",30,0,0
"366import",30,0,0
"36815",30,0,0
"36903",30,0,0
"36926",30,0,0
"36941",30,0,0
"36l",30,0,0
"3700alpha0",30,0,0
"37035best",30,0,0
"37196",30,0,0
"37309",30,0,0
"37328",30,0,0
"37488",30,0,0
"376",60,0,0
"37762",30,0,0
"37777",60,0,0
"37913",60,0,0
"37921",30,0,0
"37974",30,0,0
"37x",30,0,0
"38052",30,0,0
"38229",30,0,0
"38291",30,0,0
"3855",30,0,0
"38635",30,0,0
"39026",30,0,0
"39187",30,0,0
"39313",60,0,0
"39365",30,0,0
"39395correct",30,0,0
"39396wrong",30,0,0
"39427",30,0,0
"39447",60,0,0
"39454simpl",30,0,0
"39496sampl",30,0,0
"39510",30,0,0
"39647",60,0,0
"39701",60,0,0
"39755crash",30,0,0
"39910zip",30,0,0
"3french",30,0,0
"3gbalso",30,0,0
"3there",30,0,0
"40006",30,0,0
"4000alpha1",30,0,0
"4001",60,0,0
"4001error",30,0,0
"4002",210,0,0
"4002with",30,0,0
"401",30,0,0
"4011",30,0,0
"4021",30,0,0
"4022",90,0,0
"403",60,0,0
"40301",60,0,0
"403762",30,0,0
"40392",30,0,0
"403thank",30,0,0
"404",60,0,0
"4040",60,0,0
"4042",30,0,0
"40449",30,0,0
"40466",30,0,0
"40527test",30,0,0
"40528crash",30,0,0
"40529mayb",30,0,0
"40530anoth",30,0,0
"40536xhtml",30,0,0
"40615",30,0,0
"40gener",30,0,0
"40x",60,0,0
"4101",90,0,0
"4102",30,0,0
"41089",30,0,0
"41157fix",30,0,0
"412",60,0,0
"4131build",30,0,0
"4132",60,0,0
"414",90,0,0
"4142",120,0,0
"415",30,0,0
"4162",30,0,0
"4196611",120,0,0
"41x",60,0,0
"420",90,0,0
"4200alpha0build",30,0,0
"4200alpha1",30,0,0
"42014",30,0,0
"4202515",30,0,0
"4204",240,0,0
"4204build",30,0,0
"4229277",120,0,0
"423",30,0,0
"4231236",120,0,0
"4231447",90,0,0
"4242",60,0,0
"4251build",30,0,0
"42579xsession",30,0,0
"42709",30,0,0
"4272",30,0,0
"428",30,0,0
"42866",30,0,0
"42899",30,0,0
"42899which",30,0,0
"42x",60,0,0
"4300beta1th",30,0,0
"431",90,0,0
"4310",30,0,0
"4312",30,0,0
"43868",30,0,0
"4400alpha0build",30,0,0
"4400beta1",30,0,0
"4403",30,0,0
"44036",30,0,0
"44095",30,0,0
"44419",30,0,0
"44446",30,0,0
"44471",30,0,0
"4452",60,0,0
"44540",60,0,0
"44541",60,0,0
"44542",150,0,0
"446",30,0,0
"446kind",30,0,0
"44807",60,0,0
"44920segfault",30,0,0
"449c",30,0,0
"44format",30,0,0
"44x",30,0,0
"45051document",30,0,0
"45171sorri",30,0,0
"45233",30,0,0
"45691error",30,0,0
"459531",30,0,0
"459552",30,0,0
"46124part",30,0,0
"46519broken",30,0,0
"46705mi",30,0,0
"46896",30,0,0
"46919screenshot",30,0,0
"46921screenshot",30,0,0
"46981",30,0,0
"46985crash",30,0,0
"47015",30,0,0
"47186samp",30,0,0
"47236document",30,0,0
"47250",60,0,0
"47269gdblog",30,0,0
"47270strace",30,0,0
"47271strace",30,0,0
"47272strace",30,0,0
"47275",60,0,0
"47569",30,0,0
"47604sampl",30,0,0
"48121this",30,0,0
"48ubuntu",60,0,0
"49478open",30,0,0
"49536modifi",30,0,0
"49623",30,0,0
"49761patch",30,0,0
"49942",30,0,0
"4alter",30,0,0
"4of",30,0,0
"4the",30,0,0
"5000beta1build",60,0,0
"5002",30,0,0
"5003",30,0,0
"5005",30,0,0
"501",30,0,0
"5012",60,0,0
"50122od",30,0,0
"50147",30,0,0
"502",120,0,0
"50297schedul",30,0,0
"502it",30,0,0
"502sorri",30,0,0
"504",120,0,0
"50467",30,0,0
"504libreoffic",30,0,0
"504translat",30,0,0
"50535allthread",30,0,0
"50536sampl",30,0,0
"50710",30,0,0
"50769",30,0,0
"508",30,0,0
"510",30,0,0
"5100alpha1",30,0,0
"510alpha0",30,0,0
"510it",30,0,0
"51686",30,0,0
"51712",30,0,0
"51791",30,0,0
"51810",30,0,0
"52014",30,0,0
"52147",30,0,0
"52226lose",30,0,0
"52342",30,0,0
"52572",30,0,0
"527",30,0,0
"52816",30,0,0
"52816error",30,0,0
"52821screenshot",30,0,0
"53034",30,0,0
"53221",30,0,0
"53240",30,0,0
"5324105",30,0,0
"53656",30,0,0
"53872",60,0,0
"53909",60,0,0
"54015text",30,0,0
"54016screenshot",30,0,0
"54023",30,0,0
"54225",30,0,0
"54281",30,0,0
"54282",30,0,0
"54858",30,0,0
"549c",30,0,0
"55156",60,0,0
"55472",30,0,0
"55571",60,0,0
"560",30,0,0
"56392",30,0,0
"57079",30,0,0
"57180",30,0,0
"57631",30,0,0
"57997",30,0,0
"58317",30,0,0
"58577",30,0,0
"58579",30,0,0
"58666configur",30,0,0
"58777full",30,0,0
"59176help",30,0,0
"594120",30,0,0
"595",60,0,0
"59898",30,0,0
"59940",60,0,0
"5all",30,0,0
"5gb",30,0,0
"5hellomay",30,0,0
"60102",30,0,0
"6023b05",30,0,0
"60245",30,0,0
"6024b07",30,0,0
"60322",30,0,0
"60627",30,0,0
"60870",30,0,0
"60945",30,0,0
"60set",30,0,0
"61187",30,0,0
"61332",30,0,0
"61459",30,0,0
"61651",30,0,0
"61652",30,0,0
"62088",30,0,0
"62461",30,0,0
"62478",30,0,0
"62937",30,0,0
"62971",30,0,0
"632c",30,0,0
"63547",30,0,0
"63680",30,0,0
"63840",30,0,0
"64408",30,0,0
"64447",30,0,0
"64584",30,0,0
"64586",30,0,0
"64598thank",30,0,0
"64685",30,0,0
"64751",30,0,0
"64925",30,0,0
"64957",30,0,0
"64984",30,0,0
"64995",30,0,0
"64bit",990,0,0
"64bitad",30,0,0
"64bitgerman",30,0,0
"64bitsystem",30,0,0
"64bitthen",30,0,0
"64k",60,0,0
"65022",30,0,0
"65050",30,0,0
"65132",30,0,0
"65168",30,0,0
"65241",30,0,0
"65305",30,0,0
"65338",30,0,0
"65501",30,0,0
"65569",30,0,0
"65653",30,0,0
"65689use",30,0,0
"65924",30,0,0
"66009",30,0,0
"66071",30,0,0
"66094",30,0,0
"66158",30,0,0
"66420",30,0,0
"66478",30,0,0
"66508",30,0,0
"66512",30,0,0
"66655",30,0,0
"66655the",30,0,0
"66700",30,0,0
"66703",90,0,0
"66718",30,0,0
"67047",30,0,0
"67128",30,0,0
"67228test",60,0,0
"67229test",60,0,0
"67388",30,0,0
"67576",60,0,0
"67635html",30,0,0
"67685",30,0,0
"67727",30,0,0
"67743",30,0,0
"67903",30,0,0
"68512",60,0,0
"68552",60,0,0
"68981",30,0,0
"68981save",30,0,0
"68981thank",30,0,0
"694",60,0,0
"69517",60,0,0
"69517sorri",30,0,0
"6bug",30,0,0
"6hi",30,0,0
"6what",30,0,0
"700",30,0,0
"70449",30,0,0
"70596",30,0,0
"706",30,0,0
"70664",30,0,0
"70676",30,0,0
"70989",30,0,0
"70â",30,0,0
"71234",30,0,0
"71287valid",30,0,0
"71288same",30,0,0
"71321",30,0,0
"71560",30,0,0
